Sec	mm	kN
19.475586	0.92102182	127.30316
19.575195	1.0064775	129.71346
19.674805	0.96849716	129.44565
19.774414	0.91152674	130.66994
19.874023	0.92102182	131.66466
19.973633	0.96849716	132.81242
20.073242	0.97799224	133.96019
20.172852	0.9969824	134.4193
20.272461	1.0064775	137.40347
20.37207	1.0064775	137.05914
20.47168	1.0539528	138.20691
20.571289	1.0539528	139.58423
20.670898	1.0444577	140.19637
20.770508	1.0634478	141.61194
20.870117	0.9969824	142.91273
20.969727	1.1014282	143.90747
21.069336	1.0634478	144.29005
21.168945	1.0919331	146.24126
21.268555	1.1109232	147.77161
21.368164	1.1204183	147.69508
21.467773	1.1299133	149.11066
21.567383	1.072943	150.75578
21.666992	1.1299133	151.40619
21.766602	1.1963788	152.82176
21.866211	1.1109232	153.93126
21.96582	1.1963788	154.96425
22.06543	1.2628443	156.45634
22.165039	1.1583986	157.10674
22.264648	1.205874	158.63708
22.364258	1.1868838	158.94316
22.463867	1.1868838	159.97615
22.563477	1.2343591	162.04211
22.663086	1.2533493	162.96033
22.762695	1.2628443	163.87854
22.862305	1.215369	165.06456
22.961914	1.2723395	165.75322
23.061523	1.2818345	166.5184
23.161133	1.2723395	167.6279
23.260742	1.2913296	170.15298
23.360352	1.3008246	169.96169
23.459961	1.3008246	171.83636
23.55957	1.2818345	172.90761
23.65918	1.3672901	173.63452
23.758789	1.338805	174.93532
23.858398	1.3483	175.39442
23.958008	1.3862803	177.34563
24.057617	1.4052705	177.11607
24.157227	1.3672901	178.45512
24.256836	1.4147655	181.13324
24.356445	1.3957753	181.01846
24.456055	1.4432508	182.43404
24.555664	1.4337556	184.30872
24.655273	1.4242606	185.03564
24.754883	1.4432508	185.80081
24.854492	1.4147655	186.98683
24.954102	1.4432508	188.86151
25.053711	1.4432508	188.785
25.15332	1.4242606	190.54491
25.25293	1.5192113	192.03699
25.352539	1.5192113	191.88396
25.452148	1.5097163	193.64386
25.551758	1.471736	194.79163
25.651367	1.5097163	196.13068
25.750977	1.5856768	196.47501
25.850586	1.5571916	198.08188
25.950195	1.5571916	199.2679
26.049805	1.6331521	200.45392
26.149414	1.5761818	201.33388
26.249023	1.5287063	203.55289
26.348633	1.5571916	203.24681
26.448242	1.6426473	205.08324
26.547852	1.6236571	205.46582
26.647461	1.6616373	207.07269
26.74707	1.614162	207.95264
26.84668	1.5761818	208.56477
26.946289	1.6711324	210.97508
27.045898	1.6806275	210.97508
27.145508	1.6236571	212.58195
27.245117	1.7375979	213.8445
27.344727	1.6236571	214.49489
27.444336	1.7186078	215.64265
27.543945	1.7186078	215.68091
27.643555	1.7186078	217.21126
27.743164	1.7375979	218.32077
27.842773	1.7660831	218.93291
27.942383	1.7755783	221.03714
28.041992	1.7565881	220.99889
28.141602	1.7755783	222.52924
28.241211	1.8135585	224.17436
28.34082	1.8135585	224.40392
28.44043	1.8135585	225.74297
28.540039	1.8515388	226.0873
28.639648	1.7945683	228.00023
28.739258	1.8610338	229.37755
28.838867	1.8705289	229.45407
28.938477	1.8705289	231.71133
29.038086	1.8895191	231.67308
29.137695	1.8990141	233.05038
29.237305	1.8895191	234.69551
29.336914	1.8990141	234.92506
29.436523	1.8705289	236.79974
29.536133	1.9085093	238.02403
29.635742	1.9559846	239.13353
29.735352	1.9180043	240.2813
29.834961	1.9180043	240.39607
29.93457	1.9180043	242.76811
30.03418	1.9939648	242.27075
30.133789	1.9844698	243.83937
0.16210938	1.9844698	234.88681
0.26171875	2.02245	234.4277
0.36132813	2.02245	232.51477
0.4609375	1.9654796	230.25751
0.56054688	1.9939648	228.26805
0.66015625	1.9559846	227.42635
0.75976563	1.9274993	226.20207
0.859375	1.9749748	224.17436
0.95898438	1.9464895	221.07539
1.0585938	1.9085093	221.49625
1.1582031	1.8515388	218.85638
1.2578125	1.9369944	217.21126
1.3574219	1.9180043	216.29305
1.4570313	1.8990141	213.92101
1.5566406	1.8515388	212.73499
1.65625	1.8990141	211.74026
1.7558594	1.8325486	209.59776
1.8554688	1.8610338	208.02916
1.9550781	1.8230536	206.19273
2.0546875	1.8515388	205.19801
2.1542969	1.7945683	203.13203
2.2539063	1.8420438	201.75471
2.3535156	1.7755783	201.2191
2.453125	1.7945683	198.92357
2.5527344	1.7850733	198.34969
2.6523438	1.7850733	196.24545
2.7519531	1.7281028	194.9064
2.8515625	1.7565881	193.83516
2.9511719	1.6901226	192.45784
3.0507813	1.747093	192.03699
3.1503906	1.6806275	189.74147
3.25	1.6711324	188.09634
3.3496094	1.6901226	188.21112
3.4492188	1.6426473	185.60953
3.5488281	1.6996176	184.92087
3.6484375	1.6996176	184.27046
3.7480469	1.614162	182.0132
3.8476563	1.6331521	181.20976
3.9472656	1.5951718	179.37334
4.046875	1.6236571	179.25856
4.1464844	1.6046669	176.31264
4.2460938	1.5571916	174.97359
4.3457031	1.6046669	174.55273
4.4453125	1.6046669	172.75458
4.5449219	1.5761818	171.45378
4.6445313	1.5951718	170.95641
4.7441406	1.5761818	169.31128
4.84375	1.5476965	168.01048
4.9433594	1.5761818	166.1358
5.0429688	1.5002211	165.98277
5.1425781	1.5002211	163.61073
5.2421875	1.5002211	162.53949
5.3417969	1.481231	160.74132
5.4414063	1.5476965	160.51176
5.5410156	1.5002211	158.75186
5.640625	1.4337556	157.60411
5.7402344	1.4432508	156.99196
5.8398438	1.4907261	154.96425
5.9394531	1.4527458	153.54868
6.0390625	1.471736	152.66872
6.1386719	1.4242606	150.52623
6.2382813	1.4052705	150.25842
6.3378906	1.3957753	149.68454
6.4375	1.3483	147.50378
6.5371094	1.3672901	146.04996
6.6367188	1.338805	145.24652
6.7363281	1.3198148	143.4101
6.8359375	1.3293098	141.95627
6.9355469	1.3008246	141.26761
7.0351563	1.3672901	140.8085
7.1347656	1.3198148	138.47472
7.234375	1.338805	137.13567
7.3339844	1.3198148	136.29398
7.4335938	1.2723395	135.37576
7.5332031	1.2628443	134.84013
7.6328125	1.2723395	133.04198
7.7324219	1.2438542	131.93246
7.8320313	1.2818345	130.74644
7.9316406	1.2533493	129.25436
