Sec	mm	kN
15.393555	0.55071414	43.653252
15.493164	0.50323874	45.374897
15.592773	0.4557634	46.905247
15.692383	0.53172398	47.593906
15.791992	0.56020916	49.659878
15.891602	0.53172398	50.425056
15.991211	0.60768455	52.10844
16.09082	0.56020916	52.491028
16.19043	0.58869439	54.480484
16.290039	0.59818947	56.163868
16.389648	0.58869439	57.426411
16.489258	0.57919931	59.224571
16.588867	0.63616973	60.066265
16.688477	0.67415005	61.634872
16.788086	0.68364513	63.126965
16.887695	0.60768455	63.394775
16.987305	0.67415005	65.6903
17.086914	0.70263523	67.182396
17.186523	0.64566481	67.947571
17.286133	0.68364513	69.630959
17.385742	0.73112047	70.625687
17.485352	0.74061555	71.505638
17.584961	0.70263523	73.648125
17.68457	0.74061555	74.795891
17.78418	0.72162539	75.943649
17.883789	0.71213031	77.894852
17.983398	0.75960565	78.353958
18.083008	0.75011063	79.960823
18.182617	0.83556622	81.873764
18.282227	0.81657612	82.791969
18.381836	0.79758596	84.36058
18.481445	0.8450613	85.699638
18.581055	0.81657612	87.191727
18.680664	0.78809088	88.186455
18.780273	0.81657612	90.099396
18.879883	0.90203172	91.744522
18.979492	0.92102188	92.624474
19.079102	0.90203172	93.657463
19.178711	0.89253664	95.761696
19.27832	0.89253664	96.718163
19.37793	0.86405146	98.439804
19.477539	0.95900214	99.472794
19.577148	0.86405146	99.970154
19.676758	0.98748738	101.88309
19.776367	0.9779923	102.80131
19.875977	0.94001204	105.55594
19.975586	0.88304162	106.09156
20.075195	0.9115268	107.3541
20.174805	1.0254676	108.0045
20.274414	1.0064775	109.22878
20.374023	0.99698246	110.03221
20.473633	1.0254676	111.02694
20.573242	1.0349628	112.86337
20.672852	1.063448	114.85282
20.772461	1.0064775	115.19714
20.87207	1.0444578	117.49268
20.97168	1.0159726	118.14307
21.071289	0.99698246	119.82645
21.170898	1.072943	120.62989
21.270508	1.072943	121.47159
21.370117	1.0824381	122.96368
21.469727	1.1204184	123.72885
21.569336	1.1773888	125.52702
21.668945	1.1204184	127.82254
21.768555	1.1299134	128.16687
21.868164	1.205874	129.12334
21.967773	1.1204184	130.19458
22.067383	1.1583986	131.34235
22.166992	1.2248641	132.71967
22.266602	1.1678938	133.67613
22.366211	1.1773888	135.35951
22.46582	1.2153691	136.35425
22.56543	1.2818346	137.57852
22.665039	1.2153691	139.14714
22.764648	1.2818346	139.60625
22.864258	1.1773888	140.56271
22.963867	1.2533494	142.62868
23.063477	1.2913296	143.54689
23.163086	1.205874	144.31207
23.262695	1.2533494	146.33978
23.362305	1.3103198	147.60233
23.461914	1.3293099	147.94666
23.561523	1.3103198	148.78835
23.661133	1.338805	149.93611
23.760742	1.3008248	150.85432
23.860352	1.3577951	152.15512
23.959961	1.3483001	153.91502
24.05957	1.3577951	154.87149
24.15918	1.3767853	155.63666
24.258789	1.4147656	156.97572
24.358398	1.3957754	159.19473
24.458008	1.4052705	159.76862
24.557617	1.4622409	160.68681
24.657227	1.4052705	161.7198
24.756836	1.4622409	163.36493
24.856445	1.471736	164.28314
24.956055	1.4052705	164.70399
25.055664	1.4432508	166.57867
25.155273	1.471736	167.84122
25.254883	1.5097163	168.41508
25.354492	1.471736	170.21326
25.454102	1.5571916	171.74361
25.553711	1.5192114	172.12619
25.65332	1.5097163	173.69479
25.75293	1.4812311	174.11565
25.852539	1.5571916	176.14336
25.952148	1.5097163	177.63545
26.051758	1.5951719	178.74496
26.151367	1.6046669	179.28058
26.250977	1.5571916	179.96924
26.350586	1.5476966	181.04048
26.450195	1.6711324	182.80038
26.549805	1.6141621	183.75685
26.649414	1.6331522	185.09592
26.749023	1.6236571	186.05238
26.848633	1.6806276	187.00885
26.948242	1.6711324	188.23314
27.047852	1.7375979	188.19487
27.147461	1.6806276	189.30438
27.24707	1.6901226	190.98776
27.34668	1.6901226	192.40334
27.446289	1.6236571	193.7424
27.545898	1.7186079	194.8519
27.645508	1.6901226	195.19623
27.745117	1.7375979	196.26747
27.844727	1.7850734	197.75957
27.944336	1.7945684	199.36644
28.043945	1.7755783	199.94031
28.143555	1.7850734	200.62897
28.243164	1.7850734	201.31763
28.342773	1.7660832	202.50365
28.442383	1.7660832	203.65141
28.541992	1.7660832	205.18176
28.641602	1.8610339	205.94695
28.741211	1.8610339	207.32425
28.84082	1.8420438	207.43903
28.94043	1.8515389	208.85461
29.040039	1.8420438	209.92586
29.139648	1.9274994	211.49446
29.239258	1.9274994	211.72401
29.338867	1.8800241	213.44566
29.438477	1.8610339	213.17784
29.538086	1.8990142	214.97601
29.637695	1.9274994	215.5499
29.737305	1.8800241	217.08025
29.836914	1.9274994	217.84541
29.936523	1.9085093	218.22801
30.036133	1.9749748	219.91139
30.135742	1.9939649	220.33224
0.14941406	1.9844699	200.89679
0.24902344	2.0034599	200.59071
0.34863281	2.0034599	198.1804
0.44824219	1.9559846	196.76483
0.54785156	1.9749748	194.39279
0.64746094	1.9085093	193.01547
0.74707031	1.8990142	191.52339
0.84667969	1.8990142	189.84
0.94628906	1.9654797	186.9706
1.0458984	1.9180044	186.16716
1.1455078	1.9654797	184.56029
1.2451172	1.9180044	182.91516
1.3447266	1.9844699	181.46133
1.4443359	1.8800241	179.47188
1.5439453	1.8610339	177.86501
1.6435547	1.8800241	175.4547
1.7431641	1.8420438	173.69479
1.8427734	1.8135586	172.66182
1.9423828	1.8135586	171.16972
2.0419922	1.8230536	168.37683
2.1416016	1.7565881	165.92827
2.2412109	1.7565881	165.35439
2.3408203	1.7755783	164.05359
2.4404297	1.8040634	162.48499
2.5400391	1.7850734	160.61031
2.6396484	1.7375979	159.30951
2.7392578	1.7470931	156.66965
2.8388672	1.7091128	154.79497
2.9384766	1.7565881	153.11159
3.0380859	1.6806276	151.69601
3.1376953	1.7186079	149.85959
3.2373047	1.6521424	148.17621
3.3369141	1.6711324	146.49281
3.4365234	1.6616374	145.23029
3.5361328	1.6616374	143.8147
3.6357422	1.6901226	142.93475
3.7353516	1.6616374	140.67749
3.8349609	1.6426473	138.95584
3.9345703	1.5571916	136.96638
4.0341797	1.6141621	135.283
4.1337891	1.6046669	134.55608
4.2333984	1.5761818	132.98747
4.3330078	1.6046669	130.76846
4.4326172	1.6046669	129.08508
4.5322266	1.6046669	127.6695
4.6318359	1.5856769	126.06264
4.7314453	1.5476966	125.02965
4.8310547	1.5287064	123.19323
4.9306641	1.5856769	121.62462
5.0302734	1.5002213	119.74994
5.1298828	1.4432508	118.56392
5.2294922	1.5287064	116.38317
5.3291016	1.5476966	114.89108
5.4287109	1.4622409	112.86337
5.5283203	1.4812311	112.48077
5.6279297	1.4052705	110.83565
5.7275391	1.4622409	109.84092
5.8271484	1.4622409	108.73141
5.9267578	1.471736	106.81847
6.0263672	1.4337558	104.79076
6.1259766	1.4052705	104.2934
6.2255859	1.4242606	102.61002
6.3251953	1.3767853	101.73006
6.4248047	1.3862804	100.31448
6.5244141	1.3672903	98.439804
6.6240234	1.3862804	97.904182
6.7236328	1.3862804	96.679901
6.8232422	1.3198149	95.646919
6.9228516	1.338805	94.231346
7.0224609	1.2913296	91.89756
7.1220703	1.3577951	91.170639
7.2216797	1.3103198	89.448997
7.3212891	1.338805	88.492531
7.4208984	1.3008248	87.497803
7.5205078	1.3008248	86.120483
7.6201172	1.2723395	84.781425
7.7197266	1.2248641	83.442368
7.8193359	1.2343593	81.873764
7.9189453	1.2248641	80.764259
8.0185547	1.2343593	79.080872
