Sec	mm	kN
7.7216797	1.2343597	22.113567
7.8212891	1.262845	20.315405
7.9208984	1.2533499	19.167643
8.0205078	1.2248647	18.478985
8.1201172	1.2248647	17.943361
8.2197266	1.2248647	16.527786
8.3193359	1.1773894	15.800871
8.4189453	1.1963794	15.112213
8.5185547	1.1394091	13.505344
8.6181641	1.1583992	12.663651
8.7177734	1.1583992	12.434099
8.8173828	1.1963794	10.635937
8.9169922	1.1489041	10.176832
9.0166016	1.1678942	8.7995167
9.1162109	1.1014287	8.1491175
9.2158203	1.1109239	6.8865781
9.3154297	1.0824386	6.5422492
9.4150391	1.0729436	4.7823458
9.5146484	1.0539534	4.0554295
9.6142578	1.0159731	3.2137365
9.7138672	1.0539534	2.4103024
9.8134766	1.0349633	1.0712456
9.9130859	1.0349633	0.49736398
10.012695	1.0444584	-0.84169286
10.112305	0.97799283	-1.9116107
10.211914	1.0064781	-2.3312402
10.311523	0.96849775	-3.7808695
10.411133	0.94001257	-5.2304988
10.510742	0.93051749	-6.1460538
10.610352	0.98748791	-6.3749428
10.709961	1.0064781	-7.9008684
10.80957	0.95900273	-8.2060537
10.90918	0.94001257	-8.8545713
11.008789	0.92102242	-9.6175346
11.108398	0.97799283	-10.151608
11.208008	0.90203226	-11.639385
11.307617	0.95900273	-11.868275
11.407227	0.89253724	-13.279756
11.506836	0.92102242	-14.4242
11.606445	0.88304216	-15.339755
11.706055	0.88304216	-16.636791
11.805664	0.88304216	-17.437902
11.905273	0.81657666	-18.31531
12.004883	0.85455692	-18.658644
12.104492	0.80708158	-19.993828
12.204102	0.82607168	-20.527901
12.303711	0.77859634	-21.786791
12.40332	0.81657666	-22.626049
12.50293	0.75011116	-23.884937
12.602539	0.78809142	-24.6479
12.702148	0.75960618	-26.517159
12.801758	0.77859634	-26.593454
12.901367	0.72162592	-27.356419
13.000977	0.75960618	-28.119381
13.100586	0.71213084	-29.454565
13.200195	0.731121	-30.866047
13.299805	0.69314069	-31.896046
13.399414	0.68364567	-32.849751
13.499023	0.66465551	-32.964195
13.598633	0.64566535	-34.451973
13.698242	0.71213084	-34.986046
13.797852	0.61718017	-36.130489
13.897461	0.67415059	-36.702713
13.99707	0.66465551	-37.694565
14.09668	0.57919985	-38.877155
14.196289	0.62667519	-40.021599
14.295898	0.59819001	-40.746414
14.395508	0.60768509	-41.509377
14.495117	0.63617027	-42.615673
14.594727	0.51273435	-43.49308
14.694336	0.55071467	-44.141598
14.793945	0.54121959	-45.362339
14.893555	0.55071467	-46.125301
14.993164	0.51273435	-47.498634
