Sec	mm	kN							
18.269531	-0.78809154	-96.228539							
18.369141	-0.75011128	-96.419281							
18.46875	-0.78809154	-97.601868							
18.568359	-0.75960636	-97.945206							
18.667969	-0.84506196	-99.051498							
18.767578	-0.79758662	-99.814461							
18.867188	-0.88304228	-100.50113							
18.966797	-0.83556694	-100.73002							
19.066406	-0.89253736	-101.34039							
19.166016	-0.93051761	-102.2178							
19.265625	-0.83556694	-102.52298							
19.365234	-0.88304228	-103.36224							
19.464844	-0.90203243	-103.93446							
19.564453	-0.95900285	-103.93446							
19.664063	-0.95900285	-104.43039							
19.763672	-0.95900285	-105.26965							
19.863281	-0.92102253	-105.88002							
19.962891	-0.94001269	-106.56668							
20.0625	-0.94950777	-106.68113							
20.162109	-0.95900285	-108.05446							
0.15039063	-0.94950777	-103.01891							
0.25	-0.97799295	-102.98076							
0.34960938	-0.99698311	-101.37854							
0.44921875	-0.91152745	-99.547424							
0.54882813	-0.97799295	-99.089645							
0.6484375	-0.90203243	-96.991501							
0.74804688	-0.91152745	-96.915207							
0.84765625	-0.95900285	-95.694466							
0.94726563	-0.89253736	-95.084091							
1.046875	-0.90203243	-94.321129							
1.1464844	-0.86405212	-92.451874							
1.2460938	-0.93051761	-92.413727							
1.3457031	-0.83556694	-91.803352							
1.4453125	-0.8735472	-90.086685							
1.5449219	-0.83556694	-89.705208							
1.6445313	-0.85455704	-88.865944							
1.7441406	-0.81657678	-87.607056							
1.84375	-0.8070817	-86.500763							
1.9433594	-0.83556694	-86.081131							
2.0429688	-0.81657678	-85.356316							
2.1425781	-0.79758662	-83.410767							
2.2421875	-0.81657678	-83.296318							
2.3417969	-0.81657678	-81.922989							
2.4414063	-0.79758662	-80.816689							
2.5410156	-0.75011128	-80.091873							
2.640625	-0.78809154	-78.489655							
2.7402344	-0.72162604	-77.917435							
2.8398438	-0.66465563	-76.238914							
2.9394531	-0.68364578	-76.238914							
3.0390625	-0.75011128	-75.437805							
3.1386719	-0.71213096	-73.225212							
3.2382813	-0.65516055	-72.309654							
3.3378906	-0.63617045	-71.699287							
3.4375	-0.60768521	-70.631142							
3.5371094	-0.65516055	-69.906326							
3.6367188	-0.65516055	-68.914474							
3.7363281	-0.66465563	-67.541138							
3.8359375	-0.59819013	-66.587433							
3.9355469	-0.66465563	-66.244102							
4.0351563	-0.60768521	-64.565582							
4.1347656	-0.62667537	-62.887066							
4.234375	-0.63617045	-63.001511							
4.3339844	-0.54121971	-61.361141							
4.4335938	-0.56020987	-60.292992							
4.5332031	-0.58869505	-59.835217							
4.6328125	-0.52222955	-58.156696							
4.7324219	-0.57919997	-57.126698							
4.8320313	-0.57919997	-56.096699							
4.9316406	-0.51273447	-55.63892							
5.03125	-0.52222955	-53.884106							
5.1308594	-0.54121971	-52.663364							
5.2304688	-0.55071479	-52.358181							
5.3300781	-0.44626901	-50.946701							
5.4296875	-0.50323945	-49.764107							
5.5292969	-0.49374434	-48.734108							
5.6289063	-0.45576406	-47.093739							
5.7285156	-0.45576406	-46.330776							
5.828125	-0.42727885	-45.338924							
5.9277344	-0.43677393	-44.919292							
6.0273438	-0.43677393	-44.270775							
6.1269531	-0.38929856	-42.287071							
6.2265625	-0.38929856	-41.676701							
6.3261719	-0.39879364	-40.532257							
6.4257813	-0.43677393	-39.235222							
6.5253906	-0.3513183	-38.357815							
6.625	-0.34182322	-37.632999							
6.7246094	-0.36081335	-36.412258							
6.8242188	-0.32283306	-34.619297							
6.9238281	-0.29434785	-34.123371							
7.0234375	-0.34182322	-33.627445							
7.1230469	-0.27535772	-31.91078							
7.2226563	-0.37030843	-30.995224							
7.3222656	-0.25636756	-30.461151							
7.421875	-0.29434785	-29.698187							
7.5214844	-0.19939715	-28.210411							
7.6210938	-0.30384293	-26.798929							
7.7207031	-0.23737743	-26.722633							
7.8203125	-0.27535772	-25.120411							
7.9199219	-0.25636756	-24.204855							
8.0195313	-0.20889223	-23.708929							
8.1191406	-0.20889223	-21.915968							
8.21875	-0.180407	-21.610783							
8.3183594	-0.20889223	-20.771523							
8.4179688	-0.17091194	-19.320677							
8.5175781	-0.2468725	-18.593761							
8.6171875	-0.17091194	-17.254704							
8.7167969	-0.19939715	-16.910376							
8.8164063	-0.14242673	-15.265248							
8.9160156	-0.11394151	-15.533059							
9.015625	-0.094951369	-13.65838							
9.1152344	-0.12343658	-12.587134							
9.2148438	-0.10444644	-12.510617							
9.3144531	-0.094951369	-10.903749							
9.4140625	-0.094951369	-10.062056							
9.5136719	-0.075961225	-9.7559853							
9.6132813	-0.047476012	-8.7229986							
9.7128906	-0.075961225	-7.4987183							
9.8125	-0.047476012	-6.1596618							
9.9121094	-0.018990798	-6.2744379							
10.011719	-0.018990798	-5.471004							
10.111328	-0.018990798	-3.8641355							
10.210938	-0.028485868	-3.2137365							
10.310547	0.028484559	-1.492092							
10.410156	0.047474701	-1.2242807							
10.509766	-6.55E-07	-0.34432906							
10.609375	0.037979629	0.91821021							
10.708984	0.066464841	1.3773154							
10.808594	0.075959913	2.5633371							
10.908203	0.1139402	2.9841835							
11.007813	0.056969773	4.2084641							
11.107422	0.066464841	4.1702056							
11.207031	0.094950058	5.3562269							
11.306641	0.15192048	7.1161304							
11.40625	0.12343527	7.0396128							
11.505859	0.12343527	8.2638931							
11.605469	0.10444513	8.0343409							
11.705078	0.12343527	9.2968798							
11.804688	0.13293034	11.133301							
11.904297	0.17091063	11.439371							
12.003906	0.18990077	12.854945							
12.103516	0.20889091	14.079226							
12.203125	0.20889091	14.538331							
12.302734	0.16141555	15.226989							
12.402344	0.23737612	15.762611							
12.501953	0.26586133	17.178186							
12.601563	0.24687119	18.287691							
12.701172	0.23737612	19.779781							
12.800781	0.26586133	20.965803							
12.900391	0.24687119	21.195356							
13	0.23737612	22.572672							
13.099609	0.25636625	24.179541							
13.199219	0.33232683	24.562128							
13.298828	0.27535641	25.786409							
13.398438	0.36081204	27.010689							
13.498047	0.36081204	28.54104							
13.597656	0.35131699	29.420992							
13.697266	0.34182191	30.798307							
13.796875	0.32283175	32.328659							
13.896484	0.35131699	32.672985							
13.996094	0.37030712	33.591198							
14.095703	0.35131699	34.547665							
14.195313	0.37030712	35.657169							
14.294922	0.3798022	37.111004							
14.394531	0.37030712	38.14399							
14.494141	0.40828741	39.865635							
14.59375	0.43677261	39.903893							
14.693359	0.44626769	40.898621							
14.792969	0.44626769	42.696785							
14.892578	0.39879233	43.538475							
14.992188	0.48424798	44.99231							
15.091797	0.42727754	46.140072							
15.191406	0.43677261	46.599178							
15.291016	0.48424798	47.938236							
15.390625	0.52222824	49.047737							
15.490234	0.52222824	50.692867							
15.589844	0.52222824	51.725853							
15.689453	0.55071348	52.68232							
15.789063	0.53172332	54.556999							
15.888672	0.5412184	54.671776							
15.988281	0.5412184	56.890785							
16.087891	0.56970364	57.311634							
16.1875	0.58869374	58.153324							
16.287109	0.59818882	59.186314							
16.386719	0.67414939	60.257557							
16.486328	0.59818882	61.826168							
16.585938	0.66465431	63.31826							
16.685547	0.64566416	63.853882							
16.785156	0.61717898	65.843338							
16.884766	0.67414939	66.225922							
16.984375	0.67414939	66.876328							
17.083984	0.72162473	68.751007							
17.183594	0.71212965	70.16658							
17.283203	0.75010997	71.3526							
17.382813	0.69313955	71.773445							
17.482422	0.70263463	73.418571							
17.582031	0.73111981	74.566338							
17.681641	0.70263463	75.408028							
